Region,País,Años,Sexo,15-19 Años,20-24 Años,N° de suicidios,G 15-19 Años,G 20-24 Años
Africa,Mauritius,1971,femenino,3.0,2.0,5.0,Boomers,Boomers
Africa,Mauritius,1971,masculino,2.0,5.0,7.0,Boomers,Boomers
Africa,Mauritius,1972,femenino,2.0,2.0,4.0,Boomers,Boomers
Africa,Mauritius,1972,masculino,2.0,1.0,3.0,Boomers,Boomers
Africa,Mauritius,1973,femenino,6.0,6.0,12.0,Boomers,Boomers
Africa,Mauritius,1973,masculino,4.0,5.0,9.0,Boomers,Boomers
Africa,Mauritius,1974,femenino,4.0,6.0,10.0,Boomers,Boomers
Africa,Mauritius,1974,masculino,1.0,7.0,8.0,Boomers,Boomers
Africa,Mauritius,1975,femenino,7.0,6.0,13.0,Boomers,Boomers
Africa,Mauritius,1975,masculino,6.0,8.0,14.0,Boomers,Boomers
Africa,Mauritius,1976,femenino,8.0,5.0,13.0,Boomers,Boomers
Africa,Mauritius,1976,masculino,4.0,8.0,12.0,Boomers,Boomers
Africa,Mauritius,1977,femenino,10.0,3.0,13.0,Boomers,Boomers
Africa,Mauritius,1977,masculino,3.0,11.0,14.0,Boomers,Boomers
Africa,Mauritius,1978,femenino,9.0,4.0,13.0,Boomers,Boomers
Africa,Mauritius,1978,masculino,7.0,12.0,19.0,Boomers,Boomers
Africa,Mauritius,1979,femenino,9.0,2.0,11.0,Boomers,Boomers
Africa,Mauritius,1979,masculino,5.0,11.0,16.0,Boomers,Boomers
Africa,Mauritius,1980,masculino,1.0,2.0,3.0,Boomers/Generación X,Boomers
Africa,Mauritius,1981,femenino,1.0,4.0,5.0,Boomers/Generación X,Boomers
Africa,Mauritius,1981,masculino,1.0,0.0,1.0,Boomers/Generación X,Boomers
Africa,Mauritius,1982,femenino,1.0,0.0,1.0,Boomers/Generación X,Boomers
Africa,Mauritius,1982,masculino,0.0,2.0,2.0,Boomers/Generación X,Boomers
Africa,Mauritius,1983,femenino,2.0,2.0,4.0,Boomers/Generación X,Boomers
Africa,Mauritius,1983,masculino,0.0,2.0,2.0,Boomers/Generación X,Boomers
Africa,Mauritius,1984,femenino,17.0,10.0,27.0,Generación X,Boomers
Africa,Mauritius,1984,masculino,7.0,8.0,15.0,Generación X,Boomers
Africa,Mauritius,1985,femenino,8.0,10.0,18.0,Generación X,Boomers/Generación X
Africa,Mauritius,1985,masculino,6.0,15.0,21.0,Generación X,Boomers/Generación X
Africa,Mauritius,1986,femenino,4.0,2.0,6.0,Generación X,Boomers/Generación X
Africa,Mauritius,1986,masculino,0.0,5.0,5.0,Generación X,Boomers/Generación X
Africa,Mauritius,1987,femenino,14.0,14.0,28.0,Generación X,Boomers/Generación X
Africa,Mauritius,1987,masculino,4.0,20.0,24.0,Generación X,Boomers/Generación X
Africa,Mauritius,1988,femenino,8.0,13.0,21.0,Generación X,Boomers/Generación X
Africa,Mauritius,1988,masculino,6.0,15.0,21.0,Generación X,Boomers/Generación X
Africa,Mauritius,1989,femenino,3.0,8.0,11.0,Generación X,Generación X
Africa,Mauritius,1989,masculino,8.0,11.0,19.0,Generación X,Generación X
Africa,Mauritius,1990,femenino,11.0,12.0,23.0,Generación X,Generación X
Africa,Mauritius,1990,masculino,3.0,15.0,18.0,Generación X,Generación X
Africa,Mauritius,1991,femenino,8.0,7.0,15.0,Generación X,Generación X
Africa,Mauritius,1991,masculino,4.0,11.0,15.0,Generación X,Generación X
Africa,Mauritius,1992,femenino,6.0,7.0,13.0,Generación X,Generación X
Africa,Mauritius,1992,masculino,3.0,14.0,17.0,Generación X,Generación X
Africa,Mauritius,1993,femenino,10.0,6.0,16.0,Generación X,Generación X
Africa,Mauritius,1993,masculino,10.0,3.0,13.0,Generación X,Generación X
Africa,Mauritius,1994,femenino,6.0,3.0,9.0,Generación X,Generación X
Africa,Mauritius,1994,masculino,9.0,16.0,25.0,Generación X,Generación X
Africa,Mauritius,1995,femenino,5.0,6.0,11.0,Generación X,Generación X
Africa,Mauritius,1995,masculino,8.0,8.0,16.0,Generación X,Generación X
Africa,Mauritius,1996,femenino,4.0,4.0,8.0,Generación X,Generación X
Africa,Mauritius,1996,masculino,9.0,18.0,27.0,Generación X,Generación X
Africa,Mauritius,1997,femenino,3.0,3.0,6.0,Generación X/Generación Y,Generación X
Africa,Mauritius,1997,masculino,3.0,18.0,21.0,Generación X/Generación Y,Generación X
Africa,Mauritius,1998,femenino,8.0,7.0,15.0,Generación X/Generación Y,Generación X
Africa,Mauritius,1998,masculino,9.0,11.0,20.0,Generación X/Generación Y,Generación X
Africa,Mauritius,1999,femenino,6.0,12.0,18.0,Generación X/Generación Y,Generación X
Africa,Mauritius,1999,masculino,3.0,10.0,13.0,Generación X/Generación Y,Generación X
Africa,Mauritius,2000,femenino,6.0,5.0,11.0,Generación X/Generación Y,Generación X
