Region,País,Años,Sexo,60-64 Años,65-69 Años,N° de suicidios,G 60-64 Años,G 65-69 Años
Africa,Mauritius,1997,femenino,1.0,1.0,2.0,Silenciosos,Silenciosos
Africa,Mauritius,1997,masculino,6.0,3.0,9.0,Silenciosos,Silenciosos
Africa,Mauritius,1998,masculino,5.0,2.0,7.0,Silenciosos,Silenciosos
Africa,Mauritius,1999,masculino,2.0,3.0,5.0,Silenciosos,Silenciosos
Africa,Mauritius,2000,masculino,3.0,6.0,9.0,Silenciosos,Silenciosos
Africa,Mauritius,2001,masculino,3.0,1.0,4.0,Silenciosos,Silenciosos
Africa,Mauritius,2002,masculino,3.0,0.0,3.0,Silenciosos,Silenciosos
Africa,Mauritius,2003,femenino,0.0,1.0,1.0,Silenciosos,Silenciosos
Africa,Mauritius,2003,masculino,3.0,1.0,4.0,Silenciosos,Silenciosos
Africa,Mauritius,2004,femenino,0.0,2.0,2.0,Silenciosos,Silenciosos
Africa,Mauritius,2004,masculino,2.0,0.0,2.0,Silenciosos,Silenciosos
Africa,Mauritius,2005,femenino,3.0,1.0,4.0,Silenciosos,Silenciosos
Africa,Mauritius,2005,masculino,2.0,4.0,6.0,Silenciosos,Silenciosos
Africa,Mauritius,2006,femenino,0.0,1.0,1.0,Silenciosos/Boomers,Silenciosos
Africa,Mauritius,2006,masculino,4.0,1.0,5.0,Silenciosos/Boomers,Silenciosos
Africa,Mauritius,2007,femenino,1.0,1.0,2.0,Silenciosos/Boomers,Silenciosos
Africa,Mauritius,2007,masculino,3.0,1.0,4.0,Silenciosos/Boomers,Silenciosos
Africa,Mauritius,2008,femenino,1.0,0.0,1.0,Silenciosos/Boomers,Silenciosos
Africa,Mauritius,2008,masculino,8.0,3.0,11.0,Silenciosos/Boomers,Silenciosos
Africa,Mauritius,2009,masculino,2.0,4.0,6.0,Silenciosos/Boomers,Silenciosos
Africa,Mauritius,2010,femenino,1.0,1.0,2.0,Boomers,Silenciosos
Africa,Mauritius,2010,masculino,5.0,1.0,6.0,Boomers,Silenciosos
Africa,Mauritius,2011,masculino,4.0,2.0,6.0,Boomers,Silenciosos/Boomers
Africa,Mauritius,2012,femenino,0.0,1.0,1.0,Boomers,Silenciosos/Boomers
Africa,Mauritius,2012,masculino,3.0,4.0,7.0,Boomers,Silenciosos/Boomers
Africa,Mauritius,2013,femenino,1.0,0.0,1.0,Boomers,Silenciosos/Boomers
Africa,Mauritius,2013,masculino,4.0,0.0,4.0,Boomers,Silenciosos/Boomers
Africa,Mauritius,2014,femenino,1.0,0.0,1.0,Boomers,Silenciosos/Boomers
Africa,Mauritius,2014,masculino,1.0,0.0,1.0,Boomers,Silenciosos/Boomers
Africa,Mauritius,2015,femenino,4.0,0.0,4.0,Boomers,Boomers
Africa,Mauritius,2015,masculino,3.0,0.0,3.0,Boomers,Boomers
Africa,Mauritius,2016,femenino,1.0,0.0,1.0,Boomers,Boomers
Africa,Mauritius,2016,masculino,3.0,4.0,7.0,Boomers,Boomers
Africa,Mauritius,2017,femenino,0.0,1.0,1.0,Boomers,Boomers
Africa,Mauritius,2017,masculino,1.0,1.0,2.0,Boomers,Boomers
Africa,Mauritius,2018,femenino,1.0,1.0,2.0,Boomers,Boomers
Africa,Mauritius,2018,masculino,3.0,3.0,6.0,Boomers,Boomers
Africa,Mauritius,2019,femenino,0.0,1.0,1.0,Boomers,Boomers
Africa,Mauritius,2019,masculino,3.0,6.0,9.0,Boomers,Boomers
Africa,Mauritius,2020,masculino,3.0,3.0,6.0,Boomers,Boomers
Africa,Mayotte,2016,masculino,1.0,0.0,1.0,Boomers,Boomers
Africa,R?union,2001,femenino,0.0,1.0,1.0,Silenciosos,Silenciosos
Africa,R?union,2001,masculino,0.0,2.0,2.0,Silenciosos,Silenciosos
Africa,R?union,2002,femenino,0.0,2.0,2.0,Silenciosos,Silenciosos
Africa,R?union,2002,masculino,5.0,2.0,7.0,Silenciosos,Silenciosos
Africa,R?union,2003,femenino,2.0,2.0,4.0,Silenciosos,Silenciosos
Africa,R?union,2003,masculino,2.0,2.0,4.0,Silenciosos,Silenciosos
Africa,R?union,2004,masculino,1.0,3.0,4.0,Silenciosos,Silenciosos
Africa,R?union,2005,femenino,1.0,0.0,1.0,Silenciosos,Silenciosos
Africa,R?union,2005,masculino,2.0,2.0,4.0,Silenciosos,Silenciosos
